Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-047,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-291,2006,2,2,160,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,7,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-006,1999,15,10,956,10.6,0,3,3,0,0,0,4,0,1.1,1.1,0.7,1.8,7,40,5,0.00,0.28,0.28,0.00,0.28,0.10,0.07,0.17,0.10,0.17,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-149,1997,12,9,823,9.1,1,0,1,1,0,0,2,0,0.8,0.8,0.0,0.8,5,26,1,0.11,0.00,0.11,0.11,0.11,0.09,0.00,0.09,0.09,0.09,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-050,2002,17,6,600,6.7,2,1,3,2,0,0,0,0,1.5,1.5,0.9,2.4,22,8,76,0.30,0.15,0.45,0.30,0.45,0.22,0.14,0.36,0.22,0.36,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-248,1997,5,5,420,4.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-145,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-135,1996,25,25,2171,24.1,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.3,48,85,47,0.08,0.04,0.12,0.08,0.12,0.02,0.03,0.05,0.02,0.05,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-259,2001,24,24,2043,22.7,3,5,8,3,0,0,6,1,1.6,1.6,2.4,4.0,55,79,113,0.13,0.22,0.35,0.13,0.35,0.07,0.11,0.18,0.07,0.18,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26-309,1998,12,11,882,9.8,0,0,0,0,0,0,3,0,0.6,0.6,0.8,1.4,20,35,25,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-216,1995,20,20,1707,19.0,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
12,Nathan Aké,nl NED,DF,Manchester City,30-002,1995,9,7,602,6.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,11,39,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-082,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,Matches
14,Carlos Alcaraz,ar ARG,MF,Everton,22-082,2002,2,1,99,1.1,1,1,2,1,0,0,0,0,0.2,0.2,0.3,0.6,3,4,6,0.91,0.91,1.82,0.91,1.82,0.22,0.31,0.54,0.22,0.54,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-136,1998,25,23,1892,21.0,2,6,8,2,0,0,4,0,1.3,1.3,6.6,7.9,44,177,80,0.10,0.29,0.38,0.10,0.38,0.06,0.31,0.38,0.06,0.38,Matches
16,Alisson,br BRA,GK,Liverpool,32-141,1992,18,18,1608,17.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,31-010,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.00,0.00,0.00,0.00,0.00,0.30,0.15,0.45,0.30,0.45,Matches
18,Edson Álvarez,mx MEX,MF,West Ham,27-119,1997,20,15,1319,14.7,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,16,59,16,0.00,0.07,0.07,0.00,0.07,0.02,0.05,0.07,0.02,0.07,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-017,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
20,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-217,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.29,0.07,0.29,Matches
21,Joachim Andersen,dk DEN,DF,Crystal Palace,28-265,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
22,Joachim Andersen,dk DEN,DF,Fulham,28-265,1996,16,16,1413,15.7,0,0,0,0,0,0,3,1,0.3,0.3,0.3,0.7,9,66,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
23,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-106,2002,24,20,1636,18.2,1,5,6,1,0,0,5,0,1.2,1.2,2.8,4.0,32,84,61,0.06,0.28,0.33,0.06,0.33,0.06,0.16,0.22,0.06,0.22,Matches
24,André,br BRA,MF,Wolves,23-219,2001,20,18,1402,15.6,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,5,53,5,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.04,Matches
25,Michail Antonio,jm JAM,FW,West Ham,34-329,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Antony,br BRA,"DF,MF",Manchester Utd,24-362,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Matches
27,Julian Araujo,mx MEX,DF,Bournemouth,23-191,2001,8,5,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
