Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Expected Goal Involvement (xGI),Total Points,Form,Points per Million (PPM),Minutes per Game,Fixture Difficulty (Next 3),Differential Score
Tavernier,Bournemouth,Midfielder,5.4,0.2,4.48,2.18,6.66,61,4.3,11.3,84.24,3.33,15.49
Christie,Bournemouth,Midfielder,4.9,0.2,1.77,2.48,4.25,69,5.7,14.08,151.75,3.33,14.81
Aribo,Southampton,Midfielder,4.9,0.1,2.54,1.16,3.7,60,5.0,12.24,128.67,3.33,14.14
Bellegarde,Wolves,Midfielder,4.9,0.1,0.82,1.44,2.26,53,5.3,10.82,98.5,4.0,12.72
Danso,Spurs,Defender,4.5,0.0,0.04,0.03,0.07,6,6.0,1.33,77.0,2.67,12.11
Schade,Brentford,Midfielder,5.1,1.0,5.2,0.97,6.17,94,7.3,18.43,95.29,3.33,11.93
Minteh,Brighton,Midfielder,5.0,0.8,2.79,3.02,5.8100000000000005,64,5.7,12.8,81.85,3.33,11.18
Merino,Arsenal,Midfielder,6.0,0.4,2.98,0.71,3.69,52,4.7,8.67,70.5,2.67,10.67
Spence,Spurs,Defender,4.4,0.3,0.17,0.75,0.92,31,6.0,7.05,149.03,2.67,10.29
Brooks,Bournemouth,Midfielder,4.9,0.0,1.66,1.41,3.07,39,2.7,7.96,43.41,3.33,10.0
Kamaldeen,Southampton,Midfielder,5.0,0.0,0.73,0.2,0.9299999999999999,25,4.3,5.0,65.7,3.33,9.99
Tonali,Newcastle,Midfielder,5.5,0.5,3.15,1.14,4.29,50,4.0,9.09,123.76,2.67,9.62
Sarabia,Wolves,Midfielder,5.0,0.1,2.41,0.83,3.24,22,2.7,4.4,57.44,4.0,9.33
Adams,Bournemouth,Midfielder,4.9,0.1,0.79,0.26,1.05,34,4.3,6.94,120.27,3.33,9.25
El Khannouss,Leicester,Midfielder,4.8,0.2,0.52,1.33,1.85,50,4.0,10.42,94.4,3.0,8.98
Onuachu,Southampton,Forward,4.9,0.4,1.72,0.23,1.95,31,4.7,6.33,95.21,3.33,8.8
Jota Silva,Nott'm Forest,Midfielder,5.9,0.1,1.01,1.81,2.8200000000000003,36,2.7,6.1,52.43,2.33,8.75
Gündogan,Man City,Midfielder,6.3,0.4,1.59,2.95,4.54,46,2.7,7.3,83.58,2.67,8.72
Emerson,West Ham,Defender,4.4,0.6,1.6,1.89,3.49,58,4.3,13.18,124.18,3.33,8.65
Matheus N.,Man City,Midfielder,4.9,0.1,0.53,2.11,2.6399999999999997,40,2.7,8.16,60.08,2.67,8.51
P.M.Sarr,Spurs,Midfielder,4.8,0.2,2.42,0.54,2.96,50,2.7,10.42,68.74,2.67,8.2
Anderson,Nott'm Forest,Midfielder,5.0,0.3,1.11,2.82,3.9299999999999997,71,2.3,14.2,52.87,2.33,8.07
Palmer,Ipswich,Goalkeeper,4.5,0.0,0.0,0.0,0.0,4,4.0,0.89,90.0,4.0,8.0
Hutchinson,Ipswich,Midfielder,5.2,0.3,1.79,1.5,3.29,63,2.7,12.12,83.87,4.0,7.95
De Cordova-Reid,Leicester,Midfielder,5.2,0.1,0.75,0.13,0.88,40,3.7,7.69,47.73,3.0,7.93
