Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Expected Goal Involvement (xGI),Total Points,Form,Points per Million (PPM),Minutes per Game,Fixture Difficulty (Next 3),Differential Score
Fábio Vieira,Arsenal,Midfielder,5.4,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
G.Jesus,Arsenal,Forward,6.5,1.2,3.05,0.52,3.57,42,0.0,6.46,1.0,2.67,2.43
Gabriel,Arsenal,Defender,6.3,29.0,2.56,1.07,3.63,100,5.0,15.87,99.4,2.67,0.51
Havertz,Arsenal,Forward,7.8,6.6,9.39,1.63,11.02,96,4.7,12.31,90.03,2.67,3.41
Hein,Arsenal,Goalkeeper,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
J.Timber,Arsenal,Defender,5.6,4.5,0.75,1.04,1.79,79,4.0,14.11,93.42,2.67,1.94
Jorginho,Arsenal,Midfielder,4.7,0.2,0.04,0.47,0.51,13,0.0,2.77,1.0,2.67,0.64
Kiwior,Arsenal,Defender,4.8,0.2,0.0,0.03,0.03,13,0.0,2.71,1.0,2.67,0.04
Martinelli,Arsenal,Midfielder,6.6,2.3,4.04,2.96,7.0,89,2.7,13.48,44.05,2.67,4.82
Nwaneri,Arsenal,Midfielder,4.6,2.7,0.74,1.0,1.74,39,5.3,8.48,50.42,2.67,3.57
Ødegaard,Arsenal,Midfielder,8.2,5.1,3.17,4.06,7.2299999999999995,63,3.0,7.68,65.29,2.67,2.76
Raya,Arsenal,Goalkeeper,5.5,26.1,0.0,0.01,0.01,100,6.3,18.18,141.75,2.67,0.47
Rice,Arsenal,Midfielder,6.2,2.7,1.59,4.05,5.64,72,5.3,11.61,134.63,2.67,5.15
Saka,Arsenal,Midfielder,10.2,8.7,4.17,5.6,9.77,107,0.0,10.49,1.0,2.67,1.51
Saliba,Arsenal,Defender,6.2,22.1,1.88,0.81,2.69,93,5.7,15.0,123.13,2.67,0.67
Thomas,Arsenal,Midfielder,4.9,0.8,1.57,1.63,3.2,79,4.7,16.12,114.53,2.67,7.89
Tierney,Arsenal,Defender,4.3,0.0,0.0,0.23,0.23,3,0.7,0.7,3.97,2.67,1.74
Tomiyasu,Arsenal,Defender,4.8,0.0,0.18,0.0,0.18,1,0.0,0.21,1.0,2.67,0.27
Trossard,Arsenal,Midfielder,6.9,3.4,3.45,2.66,6.11,91,3.7,13.19,62.57,2.67,3.76
White,Arsenal,Defender,6.1,2.1,0.13,0.32,0.45,27,0.0,4.43,1.0,2.67,0.22
Zinchenko,Arsenal,Defender,4.8,0.9,0.06,0.08,0.14,17,0.0,3.54,1.0,2.67,0.11
Neto,Arsenal,Goalkeeper,4.1,0.8,0.0,0.0,0.0,7,0.0,1.71,1.0,2.67,0.0
Sterling,Arsenal,Midfielder,6.7,0.8,0.9,0.21,1.11,15,1.3,2.24,24.35,2.67,2.37
Calafiori,Arsenal,Defender,5.8,1.3,0.67,0.56,1.23,35,3.0,6.03,65.49,2.67,3.41
Lewis-Skelly,Arsenal,Midfielder,4.5,0.4,0.04,0.24,0.27999999999999997,20,2.7,4.44,84.24,2.67,4.16
Merino,Arsenal,Midfielder,6.0,0.4,2.98,0.71,3.69,52,4.7,8.67,70.5,2.67,10.67
Oulad M'hand,Arsenal,Midfielder,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Setford,Arsenal,Goalkeeper,4.5,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Kacurri,Arsenal,Defender,4.0,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Kabia,Arsenal,Midfielder,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Nichols,Arsenal,Defender,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Butler-Oyedeji,Arsenal,Forward,4.5,0.2,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Porter,Arsenal,Goalkeeper,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Bailey,Aston Villa,Midfielder,6.2,0.9,1.45,2.87,4.32,44,1.0,7.1,23.36,2.67,4.46
Barkley,Aston Villa,Midfielder,5.2,0.2,1.68,0.41,2.09,40,0.0,7.69,1.0,2.67,2.61
Barrenechea,Aston Villa,Midfielder,4.9,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Buendia,Aston Villa,Midfielder,5.1,0.1,0.65,0.03,0.68,11,0.2,2.16,1.62,2.67,1.29
Cash,Aston Villa,Defender,4.4,1.0,0.23,0.97,1.2,39,0.8,8.86,26.28,2.67,1.7
Dendoncker,Aston Villa,Midfielder,4.5,0.2,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Diaby,Aston Villa,Midfielder,6.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Diego Carlos,Aston Villa,Defender,4.5,0.3,0.64,0.08,0.72,21,0.0,4.67,1.0,2.67,0.83
Digne,Aston Villa,Defender,4.6,8.5,0.8,3.07,3.87,68,2.0,14.78,55.65,2.67,1.03
Dobbin,Aston Villa,Midfielder,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Duran,Aston Villa,Forward,5.7,1.9,5.11,0.24,5.3500000000000005,53,0.2,9.3,2.35,2.67,2.91
Gauci,Aston Villa,Goalkeeper,4.0,0.6,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Hause,Aston Villa,Defender,3.9,0.6,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Iling Jr,Aston Villa,Midfielder,5.4,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Kamara,Aston Villa,Midfielder,5.0,0.0,0.27,0.31,0.5800000000000001,29,1.5,5.8,54.21,2.67,3.87
Kesler-Hayden,Aston Villa,Defender,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Konsa,Aston Villa,Defender,4.4,5.7,0.59,0.41,1.0,50,0.8,11.36,30.42,2.67,0.46
Maatsen,Aston Villa,Defender,4.5,1.3,0.24,1.65,1.89,21,1.0,4.67,23.9,2.67,2.1
Marschall,Aston Villa,Goalkeeper,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Martinez,Aston Villa,Goalkeeper,5.0,12.5,0.0,0.01,0.01,69,2.0,13.8,66.52,2.67,0.3
McGinn,Aston Villa,Midfielder,5.2,0.7,1.99,2.1,4.09,48,1.5,9.23,47.97,2.67,5.37
Mings,Aston Villa,Defender,4.4,0.2,0.38,0.16,0.54,22,1.8,5.0,51.63,2.67,3.68
Nedeljkovic,Aston Villa,Defender,3.9,0.7,0.0,0.02,0.02,5,0.2,1.28,4.84,2.67,0.25
Olsen,Aston Villa,Goalkeeper,4.5,0.1,0.0,0.0,0.0,1,0.0,0.22,1.0,2.67,0.0
Pau,Aston Villa,Defender,4.2,0.7,0.51,0.34,0.8500000000000001,32,0.0,7.62,1.0,2.67,0.75
Ramsey,Aston Villa,Midfielder,5.4,0.6,1.19,1.64,2.83,43,3.2,7.96,79.33,2.67,6.65
Rogers,Aston Villa,Midfielder,5.7,28.7,4.54,3.22,7.76,101,1.5,17.72,30.89,2.67,0.49
Sinisalo,Aston Villa,Goalkeeper,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Sousa,Aston Villa,Defender,4.0,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Tielemans,Aston Villa,Midfielder,5.5,1.3,2.39,4.56,6.949999999999999,78,3.8,14.18,108.2,2.67,7.84
Watkins,Aston Villa,Forward,8.9,20.3,12.24,1.52,13.76,131,5.2,14.72,72.2,2.67,1.46
Disasi,Aston Villa,Defender,4.2,0.5,0.29,0.34,0.63,24,0.5,5.71,11.31,2.67,1.3
Onana,Aston Villa,Midfielder,4.8,2.3,1.85,0.25,2.1,41,0.2,8.54,5.26,2.67,1.08
Rashford,Aston Villa,Midfielder,6.6,4.4,1.83,2.18,4.01,63,2.2,9.55,37.92,2.67,1.93
Bogarde,Aston Villa,Defender,4.0,0.3,0.04,0.12,0.16,5,0.5,1.25,35.2,2.67,0.95
Swinkels,Aston Villa,Defender,4.0,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Zych,Aston Villa,Goalkeeper,4.0,0.5,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Young,Aston Villa,Midfielder,4.5,0.2,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
