Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Total Points,Form
Fábio Vieira,1,Midfielder,5.4,0.0,0.0,0.0,0,0.0
G.Jesus,1,Forward,6.5,1.2,3.05,0.52,42,0.0
Gabriel,1,Defender,6.3,28.9,2.56,1.07,100,5.0
Havertz,1,Forward,7.8,6.6,9.39,1.63,96,4.7
Hein,1,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0
J.Timber,1,Defender,5.6,4.5,0.75,1.04,79,4.0
Jorginho,1,Midfielder,4.7,0.2,0.04,0.47,13,0.0
Kiwior,1,Defender,4.8,0.2,0.0,0.03,13,0.0
Martinelli,1,Midfielder,6.6,2.3,4.04,2.96,89,2.7
Nwaneri,1,Midfielder,4.6,2.7,0.74,1.0,39,5.3
Ødegaard,1,Midfielder,8.2,5.1,3.17,4.06,63,3.0
Raya,1,Goalkeeper,5.5,26.1,0.0,0.01,100,6.3
Rice,1,Midfielder,6.2,2.7,1.59,4.05,72,5.3
Saka,1,Midfielder,10.2,8.7,4.17,5.6,107,0.0
Saliba,1,Defender,6.2,22.1,1.88,0.81,93,5.7
Thomas,1,Midfielder,4.9,0.8,1.57,1.63,79,4.7
Tierney,1,Defender,4.3,0.0,0.0,0.23,3,0.7
Tomiyasu,1,Defender,4.8,0.0,0.18,0.0,1,0.0
Trossard,1,Midfielder,6.9,3.4,3.45,2.66,91,3.7
White,1,Defender,6.1,2.1,0.13,0.32,27,0.0
Zinchenko,1,Defender,4.8,0.9,0.06,0.08,17,0.0
Neto,1,Goalkeeper,4.1,0.8,0.0,0.0,7,0.0
Sterling,1,Midfielder,6.7,0.8,0.9,0.21,15,1.3
Calafiori,1,Defender,5.8,1.3,0.67,0.56,35,3.0
Lewis-Skelly,1,Midfielder,4.5,0.4,0.04,0.24,20,2.7
Merino,1,Midfielder,6.0,0.4,2.98,0.71,52,4.7
Oulad M'hand,1,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Setford,1,Goalkeeper,4.5,0.1,0.0,0.0,0,0.0
Kacurri,1,Defender,4.0,0.1,0.0,0.0,0,0.0
Kabia,1,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Nichols,1,Defender,4.0,0.0,0.0,0.0,0,0.0
Butler-Oyedeji,1,Forward,4.5,0.2,0.0,0.0,0,0.0
Arteta,1,Unknown,1.5,6.2,0.0,0.0,30,10.0
Porter,1,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0
Bailey,2,Midfielder,6.2,0.9,1.45,2.87,44,1.0
Barkley,2,Midfielder,5.2,0.2,1.68,0.41,40,0.0
Barrenechea,2,Midfielder,4.9,0.0,0.0,0.0,0,0.0
Buendia,2,Midfielder,5.1,0.1,0.65,0.03,11,0.2
Cash,2,Defender,4.4,1.0,0.23,0.97,39,0.8
