Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Total Points,Form,Fixture Difficulty (Next 3)
Fábio Vieira,Arsenal,Midfielder,5.4,0.0,0.0,0.0,0,0.0,2.67
G.Jesus,Arsenal,Forward,6.5,1.2,3.05,0.52,42,0.0,2.67
Gabriel,Arsenal,Defender,6.3,29.0,2.56,1.07,100,5.0,2.67
Havertz,Arsenal,Forward,7.8,6.6,9.39,1.63,96,4.7,2.67
Hein,Arsenal,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0,2.67
J.Timber,Arsenal,Defender,5.6,4.5,0.75,1.04,79,4.0,2.67
Jorginho,Arsenal,Midfielder,4.7,0.2,0.04,0.47,13,0.0,2.67
Kiwior,Arsenal,Defender,4.8,0.2,0.0,0.03,13,0.0,2.67
Martinelli,Arsenal,Midfielder,6.6,2.3,4.04,2.96,89,2.7,2.67
Nwaneri,Arsenal,Midfielder,4.6,2.7,0.74,1.0,39,5.3,2.67
Ødegaard,Arsenal,Midfielder,8.2,5.1,3.17,4.06,63,3.0,2.67
Raya,Arsenal,Goalkeeper,5.5,26.1,0.0,0.01,100,6.3,2.67
Rice,Arsenal,Midfielder,6.2,2.7,1.59,4.05,72,5.3,2.67
Saka,Arsenal,Midfielder,10.2,8.7,4.17,5.6,107,0.0,2.67
Saliba,Arsenal,Defender,6.2,22.1,1.88,0.81,93,5.7,2.67
Thomas,Arsenal,Midfielder,4.9,0.8,1.57,1.63,79,4.7,2.67
Tierney,Arsenal,Defender,4.3,0.0,0.0,0.23,3,0.7,2.67
Tomiyasu,Arsenal,Defender,4.8,0.0,0.18,0.0,1,0.0,2.67
Trossard,Arsenal,Midfielder,6.9,3.4,3.45,2.66,91,3.7,2.67
White,Arsenal,Defender,6.1,2.1,0.13,0.32,27,0.0,2.67
Zinchenko,Arsenal,Defender,4.8,0.9,0.06,0.08,17,0.0,2.67
Neto,Arsenal,Goalkeeper,4.1,0.8,0.0,0.0,7,0.0,2.67
Sterling,Arsenal,Midfielder,6.7,0.8,0.9,0.21,15,1.3,2.67
Calafiori,Arsenal,Defender,5.8,1.3,0.67,0.56,35,3.0,2.67
Lewis-Skelly,Arsenal,Midfielder,4.5,0.4,0.04,0.24,20,2.7,2.67
Merino,Arsenal,Midfielder,6.0,0.4,2.98,0.71,52,4.7,2.67
Oulad M'hand,Arsenal,Midfielder,4.5,0.0,0.0,0.0,0,0.0,2.67
Setford,Arsenal,Goalkeeper,4.5,0.1,0.0,0.0,0,0.0,2.67
Kacurri,Arsenal,Defender,4.0,0.1,0.0,0.0,0,0.0,2.67
Kabia,Arsenal,Midfielder,4.5,0.0,0.0,0.0,0,0.0,2.67
Nichols,Arsenal,Defender,4.0,0.0,0.0,0.0,0,0.0,2.67
Butler-Oyedeji,Arsenal,Forward,4.5,0.2,0.0,0.0,0,0.0,2.67
Arteta,Arsenal,Unknown,1.5,6.2,0.0,0.0,30,10.0,2.67
Porter,Arsenal,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0,2.67
Bailey,Aston Villa,Midfielder,6.2,0.9,1.45,2.87,44,1.0,2.67
Barkley,Aston Villa,Midfielder,5.2,0.2,1.68,0.41,40,0.0,2.67
Barrenechea,Aston Villa,Midfielder,4.9,0.0,0.0,0.0,0,0.0,2.67
Buendia,Aston Villa,Midfielder,5.1,0.1,0.65,0.03,11,0.2,2.67
Cash,Aston Villa,Defender,4.4,1.0,0.23,0.97,39,0.8,2.67
Dendoncker,Aston Villa,Midfielder,4.5,0.2,0.0,0.0,0,0.0,2.67
Diaby,Aston Villa,Midfielder,6.5,0.0,0.0,0.0,0,0.0,2.67
Diego Carlos,Aston Villa,Defender,4.5,0.3,0.64,0.08,21,0.0,2.67
Digne,Aston Villa,Defender,4.6,8.5,0.8,3.07,68,2.0,2.67
Dobbin,Aston Villa,Midfielder,5.0,0.0,0.0,0.0,0,0.0,2.67
Duran,Aston Villa,Forward,5.7,1.9,5.11,0.24,53,0.2,2.67
Gauci,Aston Villa,Goalkeeper,4.0,0.6,0.0,0.0,0,0.0,2.67
Hause,Aston Villa,Defender,3.9,0.6,0.0,0.0,0,0.0,2.67
Iling Jr,Aston Villa,Midfielder,5.4,0.0,0.0,0.0,0,0.0,2.67
Kamara,Aston Villa,Midfielder,5.0,0.0,0.27,0.31,29,1.5,2.67
Kesler-Hayden,Aston Villa,Defender,4.0,0.0,0.0,0.0,0,0.0,2.67
Konsa,Aston Villa,Defender,4.4,5.7,0.59,0.41,50,0.8,2.67
Maatsen,Aston Villa,Defender,4.5,1.3,0.24,1.65,21,1.0,2.67
Marschall,Aston Villa,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0,2.67
Martinez,Aston Villa,Goalkeeper,5.0,12.5,0.0,0.01,69,2.0,2.67
McGinn,Aston Villa,Midfielder,5.2,0.7,1.99,2.1,48,1.5,2.67
Mings,Aston Villa,Defender,4.4,0.2,0.38,0.16,22,1.8,2.67
Nedeljkovic,Aston Villa,Defender,3.9,0.7,0.0,0.02,5,0.2,2.67
Olsen,Aston Villa,Goalkeeper,4.5,0.1,0.0,0.0,1,0.0,2.67
Pau,Aston Villa,Defender,4.2,0.7,0.51,0.34,32,0.0,2.67
Ramsey,Aston Villa,Midfielder,5.4,0.6,1.19,1.64,43,3.2,2.67
Rogers,Aston Villa,Midfielder,5.7,28.8,4.54,3.22,101,1.5,2.67
Sinisalo,Aston Villa,Goalkeeper,4.0,0.0,0.0,0.0,0,0.0,2.67
Sousa,Aston Villa,Defender,4.0,0.1,0.0,0.0,0,0.0,2.67
Tielemans,Aston Villa,Midfielder,5.5,1.3,2.39,4.56,78,3.8,2.67
Watkins,Aston Villa,Forward,8.9,20.3,12.24,1.52,131,5.2,2.67
Disasi,Aston Villa,Defender,4.2,0.6,0.29,0.34,24,0.5,2.67
Onana,Aston Villa,Midfielder,4.8,2.3,1.85,0.25,41,0.2,2.67
Rashford,Aston Villa,Midfielder,6.6,4.4,1.83,2.18,63,2.2,2.67
Bogarde,Aston Villa,Defender,4.0,0.3,0.04,0.12,5,0.5,2.67
Swinkels,Aston Villa,Defender,4.0,0.1,0.0,0.0,0,0.0,2.67
Zych,Aston Villa,Goalkeeper,4.0,0.5,0.0,0.0,0,0.0,2.67
Young,Aston Villa,Midfielder,4.5,0.2,0.0,0.0,0,0.0,2.67
Broggio,Aston Villa,Midfielder,4.5,0.0,0.0,0.0,0,0.0,2.67
Jimoh,Aston Villa,Midfielder,4.5,0.0,0.0,0.0,0,0.0,2.67
Malen,Aston Villa,Midfielder,5.5,0.2,0.31,0.04,5,1.2,2.67
A. Garcia,Aston Villa,Defender,4.5,0.1,0.04,0.21,4,1.0,2.67
Emery,Aston Villa,Unknown,0.8,22.2,0.0,0.0,18,4.5,2.67
M.Asensio,Aston Villa,Midfielder,6.0,0.3,0.37,0.09,3,1.5,2.67
Aarons,Bournemouth,Defender,4.3,0.1,0.0,0.01,8,0.0,3.33
Adams,Bournemouth,Midfielder,4.9,0.1,0.79,0.26,34,4.3,3.33
Anthony,Bournemouth,Midfielder,4.5,0.1,0.0,0.0,0,0.0,3.33
Brooks,Bournemouth,Midfielder,4.9,0.0,1.66,1.41,39,2.7,3.33
